,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
279,Cell & Molecular Biology,Bachelors,"$51,900","$92,800",68%
280,Industrial Safety,Bachelors,"$55,200","$92,800",78%
281,Insurance,Bachelors,"$56,000","$92,800",43%
282,Manufacturing Management,Bachelors,"$64,000","$92,800",49%
283,Networks & Telecommunications,Bachelors,"$54,300","$92,800",56%
284,Labor Studies,Bachelors,"$46,600","$92,600",49%
285,Digital Media Design,Bachelors,"$46,700","$92,600",31%
286,Advertising & Marketing Communications,Bachelors,"$48,300","$92,600",36%
287,Cinema Studies,Bachelors,"$47,900","$92,500",33%
288,Electronic & Computer Technology,Bachelors,"$63,800","$92,500",58%
289,Marketing Communication,Bachelors,"$45,700","$92,500",39%
290,Construction Technology,Bachelors,"$59,100","$92,400",-
291,Architecture,Bachelors,"$51,000","$92,300",53%
292,Applied Statistics,Bachelors,"$65,900","$92,200",47%
293,Biological Sciences,Bachelors,"$49,300","$92,100",66%
294,Food Science,Bachelors,"$52,500","$92,100",51%
295,Urban & Regional Planning,Bachelors,"$51,800","$92,100",60%
296,Marketing Management,Bachelors,"$51,300","$92,000",42%
297,Computer & Network Administration,Bachelors,"$56,800","$91,900",47%
298,Applied Computer Science,Bachelors,"$66,100","$91,800",44%
299,Sales,Bachelors,"$61,500","$91,600",44%
300,Environmental Design,Bachelors,"$47,700","$91,400",55%
301,Hotel Management,Bachelors,"$49,100","$91,400",44%
302,Advertising Design,Bachelors,"$52,700","$91,300",28%
303,Digital Arts,Bachelors,"$45,600","$91,300",35%
304,Financial Management,Bachelors,"$54,300","$91,300",54%
305,Electronic Systems Technology (EST),Bachelors,"$81,000","$91,200",-
306,Italian Language,Bachelors,"$51,400","$91,100",43%
307,German Studies,Bachelors,"$50,000","$91,000",42%
308,Quality Management,Bachelors,"$57,400","$90,800",60%
309,Microbiology,Bachelors,"$48,400","$90,300",68%
310,Entrepreneurship,Bachelors,"$54,800","$90,300",47%
311,Interactive Media,Bachelors,"$52,700","$90,200",35%
312,Global Business Management,Bachelors,"$55,900","$90,200",52%
313,Network Systems Administration,Bachelors,"$57,900","$90,200",50%
314,Police Science,Bachelors,"$55,400","$90,200",-
315,Hydrology,Bachelors,"$48,700","$90,100",-
316,Business Data Analysis,Bachelors,"$64,700","$90,000",36%
317,Database Management,Bachelors,"$65,900","$90,000",-
318,Spanish Literature,Bachelors,"$51,100","$90,000",50%
319,Business Technology,Bachelors,"$52,800","$89,900",42%
320,Business Management & Marketing,Bachelors,"$48,900","$89,800",48%
321,Technical Management,Bachelors,"$64,400","$89,700",62%
322,Human Biology,Bachelors,"$51,100","$89,600",70%
323,Meteorology,Bachelors,"$46,200","$89,500",57%
324,Computer Graphics Technology (CGT),Bachelors,"$49,000","$89,200",40%
325,Urban Planning,Bachelors,"$50,500","$89,200",53%
326,Aviation Technology,Bachelors,"$58,100","$89,100",49%
